CREDITS,GPA
38,3.5
37,2.7
34,3.4
70,3.3
64,3.4
72,3.8
64,2.8
101,3
100,3.5
104,2.9
102,3.4
124,3.5
130,3.6
127,3.3
28,3.7
30,3.3
32,3.9
27,3.8
56,3.9
64,3.8
74,4
52,3.8
102,4
96,3.8
98,3.7
122,3.5
128,3.8
134,3.9
32,3.8
34,3.9
33,3.8
67,3.9
54,3.7
66,3.9
76,4
110,4
102,3.9
104,4
102,3.8
138,4
140,3.9
130,3.7
36,2.9
37,3.1
36,3.3
69,3.4
68,3.1
72,3.7
74,4
69,3.2
101,2.9
104,3.8
107,3.6
131,3.7
130,3.8
130,3.7
31,3.5
32,3.8
30,3.8
31,3.3
67,3.6
68,3.9
66,3.8
67,3.6
101,3.7
96,3.9
97,3.5
133,3.8
130,3.7
133,3.7
